_id,industry_major_cate,std_year_month,std_year,std_month,consumption_amount,region
65e932a1bb908e26c80449e4,운송업,202010,2020,10,187061,경남
65e932a1bb908e26c80449e5,숙박업,202010,2020,10,5186224,경남
65e932a1bb908e26c80449e6,여행업,202009,2020,9,16910,경남
65e932a1bb908e26c80449e7,식음료업,202009,2020,9,57843610,경남
65e932a1bb908e26c80449e8,여가서비스업,202009,2020,9,13437867,경남
65e932a1bb908e26c80449e9,쇼핑업,202009,2020,9,31536610,경남
65e932a1bb908e26c80449ea,운송업,202009,2020,9,108091,경남
65e932a1bb908e26c80449eb,숙박업,202009,2020,9,3960472,경남
65e932a1bb908e26c80449ec,여행업,202008,2020,8,56968,경남
65e932a1bb908e26c80449ed,식음료업,202008,2020,8,79553681,경남
65e932a1bb908e26c80449ee,여가서비스업,202008,2020,8,15621901,경남
65e932a1bb908e26c80449ef,쇼핑업,202008,2020,8,30008833,경남
65e932a1bb908e26c80449f0,숙박업,202008,2020,8,7416944,경남
65e932a1bb908e26c80449f1,여가서비스업,202010,2020,10,17172608,경남
65e932a1bb908e26c80449f2,식음료업,202010,2020,10,70320884,경남
65e932a1bb908e26c80449f3,여행업,202010,2020,10,20678,경남
65e932a1bb908e26c80449f4,숙박업,202011,2020,11,4753094,경남
65e932a1bb908e26c80449f5,운송업,202011,2020,11,163825,경남
65e932a1bb908e26c80449f6,쇼핑업,202011,2020,11,32743673,경남
65e932a1bb908e26c80449f7,여가서비스업,202011,2020,11,14565385,경남
65e932a1bb908e26c80449f8,식음료업,202011,2020,11,60225052,경남
65e932a1bb908e26c80449f9,여행업,202011,2020,11,20239,경남
65e932a1bb908e26c80449fa,숙박업,202012,2020,12,3661411,경남
65e932a1bb908e26c80449fb,운송업,202012,2020,12,128758,경남
65e932a1bb908e26c80449fc,쇼핑업,202012,2020,12,28378197,경남
65e932a1bb908e26c80449fd,여가서비스업,202012,2020,12,11127834,경남
65e932a1bb908e26c80449fe,식음료업,202012,2020,12,41532490,경남
65e932a1bb908e26c80449ff,여행업,202012,2020,12,14911,경남
65e932a1bb908e26c8044a00,식음료업,202002,2020,2,54891048,경남
65e932a1bb908e26c8044a01,쇼핑업,202004,2020,4,27415545,경남
65e932a1bb908e26c8044a02,운송업,202004,2020,4,121374,경남
65e932a1bb908e26c8044a03,숙박업,202004,2020,4,3583186,경남
65e932a1bb908e26c8044a04,여행업,202003,2020,3,33914,경남
65e932a1bb908e26c8044a05,식음료업,202003,2020,3,51172662,경남
65e932a1bb908e26c8044a06,여가서비스업,202003,2020,3,10106498,경남
65e932a1bb908e26c8044a07,쇼핑업,202003,2020,3,21926297,경남
65e932a1bb908e26c8044a08,운송업,202003,2020,3,93929,경남
65e932a1bb908e26c8044a09,숙박업,202003,2020,3,3124693,경남
65e932a1bb908e26c8044a0a,여행업,202002,2020,2,34422,경남
65e932a1bb908e26c8044a0b,여가서비스업,202004,2020,4,13116090,경남
65e932a1bb908e26c8044a0c,여가서비스업,202002,2020,2,9372818,경남
65e932a1bb908e26c8044a0d,쇼핑업,202002,2020,2,22205466,경남
65e932a1bb908e26c8044a0e,운송업,202002,2020,2,78480,경남
65e932a1bb908e26c8044a0f,숙박업,202002,2020,2,4132297,경남
65e932a1bb908e26c8044a10,식음료업,202001,2020,1,69350815,경남
65e932a1bb908e26c8044a11,여가서비스업,202001,2020,1,9367590,경남
65e932a1bb908e26c8044a12,쇼핑업,202001,2020,1,31568162,경남
65e932a1bb908e26c8044a13,운송업,202001,2020,1,124206,경남
65e932a1bb908e26c8044a14,여행업,202001,2020,1,30568,경남
65e932a1bb908e26c8044a15,운송업,202006,2020,6,146185,경남
65e932a1bb908e26c8044a16,여행업,202007,2020,7,39969,경남
65e932a1bb908e26c8044a17,식음료업,202007,2020,7,71642736,경남
65e932a1bb908e26c8044a18,여가서비스업,202007,2020,7,14479075,경남
65e932a1bb908e26c8044a19,쇼핑업,202007,2020,7,28340014,경남
65e932a1bb908e26c8044a1a,운송업,202007,2020,7,139021,경남
65e932a1bb908e26c8044a1b,숙박업,202007,2020,7,5721474,경남
65e932a1bb908e26c8044a1c,여행업,202006,2020,6,40572,경남
65e932a1bb908e26c8044a1d,식음료업,202006,2020,6,67770218,경남
65e932a1bb908e26c8044a1e,여가서비스업,202006,2020,6,15059852,경남
65e932a1bb908e26c8044a1f,쇼핑업,202006,2020,6,30953966,경남
65e932a1bb908e26c8044a20,숙박업,202001,2020,1,5390414,경남
65e932a1bb908e26c8044a21,숙박업,202006,2020,6,4785808,경남
65e932a1bb908e26c8044a22,여행업,202005,2020,5,25408,경남
65e932a1bb908e26c8044a23,식음료업,202005,2020,5,76653086,경남
65e932a1bb908e26c8044a24,여가서비스업,202005,2020,5,16152751,경남
65e932a1bb908e26c8044a25,쇼핑업,202005,2020,5,39387508,경남
65e932a1bb908e26c8044a26,운송업,202005,2020,5,170409,경남
65e932a1bb908e26c8044a27,숙박업,202005,2020,5,5046162,경남
65e932a1bb908e26c8044a28,여행업,202004,2020,4,18220,경남
65e932a1bb908e26c8044a29,식음료업,202004,2020,4,59638640,경남
65e932a1bb908e26c8044a2a,전체,202012,2020,12,68994640,경북
65e932a1bb908e26c8044a2b,전체,202001,2020,1,87737555,경북
65e932a1bb908e26c8044a2c,전체,202002,2020,2,62297060,경북
65e932a1bb908e26c8044a2d,전체,202003,2020,3,51443903,경북
65e932a1bb908e26c8044a2e,전체,202004,2020,4,71510271,경북
65e932a1bb908e26c8044a2f,전체,202005,2020,5,101704038,경북
65e932a1bb908e26c8044a30,전체,202006,2020,6,89770961,경북
65e932a1bb908e26c8044a31,전체,202007,2020,7,91670615,경북
65e932a1bb908e26c8044a32,전체,202008,2020,8,109176139,경북
65e932a1bb908e26c8044a33,전체,202009,2020,9,83522785,경북
65e932a1bb908e26c8044a34,전체,202010,2020,10,102932493,경북
65e932a1bb908e26c8044a35,전체,202011,2020,11,93789397,경북
65e932a1bb908e26c8044a36,쇼핑업,202010,2020,10,23118324,경북
65e932a1bb908e26c8044a37,여행업,202008,2020,8,58157,경북
65e932a1bb908e26c8044a38,운송업,202010,2020,10,79331,경북
65e932a1bb908e26c8044a39,숙박업,202010,2020,10,5077483,경북
65e932a1bb908e26c8044a3a,식음료업,202009,2020,9,46413142,경북
