_id,region,std_year_month,std_year,std_month,tour_trend,num_mention
65e92ddfbb908e26c8043a19,경북,202010,2020,10,체험,2963
65e92ddfbb908e26c8043a1a,경북,202005,2020,5,체험,2765
65e92ddfbb908e26c8043a1b,경북,202011,2020,11,체험,2673
65e92ddfbb908e26c8043a1c,경북,202004,2020,4,체험,2301
65e92ddfbb908e26c8043a1d,경북,202002,2020,2,체험,1985
65e92ddfbb908e26c8043a1e,경북,202009,2020,9,체험,1983
65e92ddfbb908e26c8043a1f,경북,202012,2020,12,체험,1819
65e92ddfbb908e26c8043a20,경북,202003,2020,3,체험,1630
65e92ddfbb908e26c8043a21,경북,202007,2020,7,미식,1552
65e92ddfbb908e26c8043a22,경북,202004,2020,4,미식,1390
65e92ddfbb908e26c8043a23,경북,202008,2020,8,미식,1272
65e92ddfbb908e26c8043a24,경북,202010,2020,10,미식,1174
65e92ddfbb908e26c8043a25,경북,202005,2020,5,미식,1173
65e92ddfbb908e26c8043a26,경북,202002,2020,2,미식,1092
65e92ddfbb908e26c8043a27,경북,202011,2020,11,미식,1011
65e92ddfbb908e26c8043a28,경북,202009,2020,9,미식,993
65e92ddfbb908e26c8043a29,경북,202012,2020,12,미식,991
65e92ddfbb908e26c8043a2a,경북,202006,2020,6,미식,938
65e92ddfbb908e26c8043a2b,경북,202001,2020,1,미식,723
65e92ddfbb908e26c8043a2c,경북,202003,2020,3,미식,675
65e92ddfbb908e26c8043a2d,광주,202010,2020,10,휴식/힐링,3213
65e92ddfbb908e26c8043a2e,광주,202005,2020,5,휴식/힐링,3090
65e92ddfbb908e26c8043a2f,광주,202004,2020,4,휴식/힐링,3011
65e92ddfbb908e26c8043a30,광주,202012,2020,12,휴식/힐링,2821
65e92ddfbb908e26c8043a31,광주,202006,2020,6,휴식/힐링,2779
65e92ddfbb908e26c8043a32,광주,202009,2020,9,휴식/힐링,2739
65e92ddfbb908e26c8043a33,광주,202011,2020,11,휴식/힐링,2712
65e92ddfbb908e26c8043a34,광주,202007,2020,7,휴식/힐링,2563
65e92ddfbb908e26c8043a35,광주,202008,2020,8,휴식/힐링,2555
65e92ddfbb908e26c8043a36,광주,202003,2020,3,휴식/힐링,2435
65e92ddfbb908e26c8043a37,광주,202012,2020,12,레포츠,2312
65e92ddfbb908e26c8043a38,광주,202010,2020,10,레포츠,2181
65e92ddfbb908e26c8043a39,광주,202001,2020,1,휴식/힐링,2092
65e92ddfbb908e26c8043a3a,광주,202002,2020,2,휴식/힐링,1967
65e92ddfbb908e26c8043a3b,광주,202006,2020,6,레포츠,1956
65e92ddfbb908e26c8043a3c,광주,202005,2020,5,레포츠,1892
65e92ddfbb908e26c8043a3d,광주,202011,2020,11,레포츠,1843
65e92ddfbb908e26c8043a3e,광주,202008,2020,8,레포츠,1841
65e92ddfbb908e26c8043a3f,광주,202004,2020,4,레포츠,1813
65e92ddfbb908e26c8043a40,광주,202007,2020,7,기타,1603
65e92ddfbb908e26c8043a41,광주,202007,2020,7,레포츠,1568
65e92ddfbb908e26c8043a42,광주,202003,2020,3,레포츠,1513
65e92ddfbb908e26c8043a43,광주,202003,2020,3,기타,1479
65e92ddfbb908e26c8043a44,광주,202009,2020,9,레포츠,1433
65e92ddfbb908e26c8043a45,광주,202001,2020,1,레포츠,1349
65e92ddfbb908e26c8043a46,광주,202002,2020,2,기타,1323
65e92ddfbb908e26c8043a47,광주,202002,2020,2,레포츠,1181
65e92ddfbb908e26c8043a48,광주,202005,2020,5,기타,1156
65e92ddfbb908e26c8043a49,광주,202006,2020,6,기타,1054
65e92ddfbb908e26c8043a4a,광주,202001,2020,1,기타,942
65e92ddfbb908e26c8043a4b,광주,202004,2020,4,기타,889
65e92ddfbb908e26c8043a4c,광주,202011,2020,11,기타,856
65e92ddfbb908e26c8043a4d,광주,202008,2020,8,기타,803
65e92ddfbb908e26c8043a4e,광주,202010,2020,10,기타,789
65e92ddfbb908e26c8043a4f,광주,202009,2020,9,기타,732
65e92ddfbb908e26c8043a50,광주,202012,2020,12,기타,637
65e92ddfbb908e26c8043a51,광주,202007,2020,7,미식,473
65e92ddfbb908e26c8043a52,광주,202004,2020,4,미식,444
65e92ddfbb908e26c8043a53,광주,202008,2020,8,미식,438
65e92ddfbb908e26c8043a54,광주,202001,2020,1,미식,425
65e92ddfbb908e26c8043a55,광주,202006,2020,6,미식,400
65e92ddfbb908e26c8043a56,광주,202002,2020,2,미식,396
65e92ddfbb908e26c8043a57,광주,202005,2020,5,미식,387
65e92ddfbb908e26c8043a58,광주,202010,2020,10,미식,386
65e92ddfbb908e26c8043a59,광주,202003,2020,3,미식,368
65e92ddfbb908e26c8043a5a,광주,202011,2020,11,미식,352
65e92ddfbb908e26c8043a5b,광주,202009,2020,9,미식,322
65e92ddfbb908e26c8043a5c,광주,202012,2020,12,미식,278
65e92ddfbb908e26c8043a5d,광주,202006,2020,6,체험,236
65e92ddfbb908e26c8043a5e,광주,202011,2020,11,체험,213
65e92ddfbb908e26c8043a5f,광주,202010,2020,10,체험,209
65e92ddfbb908e26c8043a60,광주,202002,2020,2,체험,207
65e92ddfbb908e26c8043a61,광주,202005,2020,5,체험,202
65e92ddfbb908e26c8043a62,광주,202012,2020,12,체험,185
65e92ddfbb908e26c8043a63,광주,202007,2020,7,체험,175
65e92ddfbb908e26c8043a64,광주,202003,2020,3,체험,158
65e92ddfbb908e26c8043a65,광주,202004,2020,4,체험,156
65e92ddfbb908e26c8043a66,광주,202008,2020,8,체험,134
65e92ddfbb908e26c8043a67,광주,202001,2020,1,체험,133
65e92ddfbb908e26c8043a68,광주,202009,2020,9,체험,133
65e92ddfbb908e26c8043a69,대구,202010,2020,10,휴식/힐링,9616
65e92ddfbb908e26c8043a6a,대구,202006,2020,6,휴식/힐링,8519
65e92ddfbb908e26c8043a6b,대구,202007,2020,7,휴식/힐링,8298
65e92ddfbb908e26c8043a6c,대구,202004,2020,4,휴식/힐링,8171
65e92ddfbb908e26c8043a6d,대구,202008,2020,8,휴식/힐링,7684
65e92ddfbb908e26c8043a6e,대구,202005,2020,5,휴식/힐링,7625
65e92ddfbb908e26c8043a6f,대구,202011,2020,11,휴식/힐링,7597
65e92ddfbb908e26c8043a70,대구,202002,2020,2,기타,7103
65e92ddfbb908e26c8043a71,대구,202002,2020,2,레포츠,6854
65e92ddfbb908e26c8043a72,대구,202009,2020,9,휴식/힐링,6754
65e92ddfbb908e26c8043a73,대구,202010,2020,10,레포츠,6263
65e92ddfbb908e26c8043a74,대구,202001,2020,1,휴식/힐링,6240
