_id,std_year,region,consumption_amount,industry_major_cate,industry_middle_cate
65e912c3bb908e26c803df9c,2020,제주,497033.147,숙박업,캠핑장/펜션
65e912c3bb908e26c803df9d,2020,제주,31912895.814,숙박업,기타숙박
65e912c3bb908e26c803df9e,2020,제주,352986395.34,식음료업,식음료
65e912c3bb908e26c803df9f,2020,제주,5593704.664,여가서비스업,관광유원시설
65e912c3bb908e26c803dfa0,2020,제주,57481113.109,여가서비스업,골프장
65e912c3bb908e26c803dfa1,2020,제주,4203924.212,여가서비스업,기타레저
65e912c3bb908e26c803dfa2,2020,제주,8298292.465,여가서비스업,문화서비스
65e912c3bb908e26c803dfa3,2020,제주,2247883.332,여행업,여행업
65e912c3bb908e26c803dfa4,2020,제주,2229373.71,운송업,수상운송
65e912c3bb908e26c803dfa5,2020,제주,16697422.551,운송업,항공운송
65e912c3bb908e26c803dfa6,2020,제주,22828705.259,운송업,렌터카
65e912c3bb908e26c803dfa7,2020,제주,117102,운송업,육상운송
65e912c3bb908e26c803dfa8,2020,충남,1127512.221,쇼핑업,관광기념품
65e912c3bb908e26c803dfa9,2020,충남,83932968.699,쇼핑업,레저용품쇼핑
65e912c3bb908e26c803dfaa,2020,충남,174831953.054,쇼핑업,대형쇼핑몰
65e912c3bb908e26c803dfab,2020,충남,2800775.734,숙박업,호텔
65e912c3bb908e26c803dfac,2020,충남,7242133.625,숙박업,콘도
65e912c3bb908e26c803dfad,2020,충남,1089576.605,숙박업,캠핑장/펜션
65e912c3bb908e26c803dfae,2020,충남,29223765.291,숙박업,기타숙박
65e912c3bb908e26c803dfaf,2020,충남,600879800.062,식음료업,식음료
65e912c3bb908e26c803dfb0,2020,충남,1443993.538,여가서비스업,관광유원시설
65e912c3bb908e26c803dfb1,2020,충남,60514482.274,여가서비스업,골프장
65e912c3bb908e26c803dfb2,2020,충남,7863191.713,여가서비스업,기타레저
65e912c3bb908e26c803dfb3,2020,충남,3941468.528,여가서비스업,문화서비스
65e912c3bb908e26c803dfb4,2020,충남,166422.032,여행업,여행업
65e912c3bb908e26c803dfb5,2020,충남,345631.21,운송업,수상운송
65e912c3bb908e26c803dfb6,2020,충남,52548.082,운송업,육상운송
65e912c3bb908e26c803dfb7,2020,충남,0,운송업,항공운송
65e912c3bb908e26c803dfb8,2020,충남,198787.431,운송업,렌터카
65e912c3bb908e26c803dfb9,2020,충북,1475127.858,쇼핑업,관광기념품
65e912c3bb908e26c803dfba,2020,충북,75000994.413,쇼핑업,레저용품쇼핑
65e912c3bb908e26c803dfbb,2020,충북,153105115.232,쇼핑업,대형쇼핑몰
65e912c3bb908e26c803dfbc,2020,충북,69013.68,쇼핑업,면세점
65e912c3bb908e26c803dfbd,2020,충북,176792.44,숙박업,캠핑장/펜션
65e912c3bb908e26c803dfbe,2020,충북,20358565.392,숙박업,기타숙박
65e912c3bb908e26c803dfbf,2020,충북,1651476.561,숙박업,호텔
65e912c3bb908e26c803dfc0,2020,충북,4725427.433,숙박업,콘도
65e912c3bb908e26c803dfc1,2020,충북,492548748.881,식음료업,식음료
65e912c3bb908e26c803dfc2,2020,충북,2069879.273,여가서비스업,관광유원시설
65e912c3bb908e26c803dfc3,2020,충북,119981582.853,여가서비스업,골프장
65e912c3bb908e26c803dfc4,2020,충북,7324643.199,여가서비스업,기타레저
65e912c3bb908e26c803dfc5,2020,충북,4696333.804,여가서비스업,문화서비스
65e912c3bb908e26c803dfc6,2020,충북,132799.8,여행업,여행업
65e912c3bb908e26c803dfc7,2020,충북,258385.237,운송업,렌터카
65e912c3bb908e26c803dfc8,2020,충북,8220.1,운송업,육상운송
65e912c3bb908e26c803dfc9,2020,충북,928652.3,운송업,항공운송
65e912c3bb908e26c803dfca,2020,충북,375370.7,운송업,수상운송
65e912c3bb908e26c803dfcb,2021,강원,3272170.602,쇼핑업,관광기념품
65e912c3bb908e26c803dfcc,2021,강원,78087300.451,쇼핑업,레저용품쇼핑
65e912c3bb908e26c803dfcd,2021,강원,80434747.326,쇼핑업,대형쇼핑몰
65e912c3bb908e26c803dfce,2021,강원,65619.9,쇼핑업,면세점
65e912c3bb908e26c803dfcf,2021,강원,32380676.754,숙박업,호텔
65e912c3bb908e26c803dfd0,2021,강원,74402105.173,숙박업,콘도
65e912c3bb908e26c803dfd1,2021,강원,1687900.362,숙박업,캠핑장/펜션
65e912c3bb908e26c803dfd2,2021,강원,54753396.386,숙박업,기타숙박
65e912c3bb908e26c803dfd3,2021,강원,604777744.941,식음료업,식음료
65e912c3bb908e26c803dfd4,2021,강원,5383753.917,여가서비스업,관광유원시설
65e912c3bb908e26c803dfd5,2021,강원,164627163.643,여가서비스업,골프장
65e912c3bb908e26c803dfd6,2021,강원,5063581.483,여가서비스업,기타레저
65e912c3bb908e26c803dfd7,2021,강원,8709589.4,여가서비스업,문화서비스
65e912c3bb908e26c803dfd8,2021,강원,2817966.63,여가서비스업,스키장
65e912c3bb908e26c803dfd9,2021,강원,1794170.956,여행업,여행업
65e912c3bb908e26c803dfda,2021,강원,195221.4,운송업,수상운송
65e912c3bb908e26c803dfdb,2021,강원,390309.953,운송업,렌터카
65e912c3bb908e26c803dfdc,2021,강원,19189.9,운송업,항공운송
65e912c3bb908e26c803dfdd,2021,강원,305382.187,운송업,육상운송
65e912c3bb908e26c803dfde,2021,경기,9460884.806,쇼핑업,관광기념품
65e912c3bb908e26c803dfdf,2021,경기,477467049.882,쇼핑업,레저용품쇼핑
65e912c3bb908e26c803dfe0,2021,경기,2705802868.192,쇼핑업,대형쇼핑몰
65e912c3bb908e26c803dfe1,2021,경기,2315.4,쇼핑업,면세점
65e912c3bb908e26c803dfe2,2021,경기,127762614.468,숙박업,기타숙박
65e912c3bb908e26c803dfe3,2021,경기,13036449.405,숙박업,호텔
65e912c3bb908e26c803dfe4,2021,경기,5079601.933,숙박업,콘도
65e912c3bb908e26c803dfe5,2021,경기,1933904.612,숙박업,캠핑장/펜션
65e912c3bb908e26c803dfe6,2021,경기,3718739527.558,식음료업,식음료
65e912c3bb908e26c803dfe7,2021,경기,15411827.252,여가서비스업,관광유원시설
65e912c3bb908e26c803dfe8,2021,경기,655430041.061,여가서비스업,골프장
65e912c3bb908e26c803dfe9,2021,경기,50418844.576,여가서비스업,기타레저
65e912c3bb908e26c803dfea,2021,경기,73120010.477,여가서비스업,문화서비스
65e912c3bb908e26c803dfeb,2021,경기,4380676.218,여가서비스업,스키장
65e912c3bb908e26c803dfec,2021,경기,1135097.354,여행업,여행업
65e912c3bb908e26c803dfed,2021,경기,50526711.138,운송업,렌터카
65e912c3bb908e26c803dfee,2021,경기,49290512.124,운송업,육상운송
65e912c3bb908e26c803dfef,2021,경기,814858.71,운송업,수상운송
65e912c3bb908e26c803dff0,2021,경남,3230154.678,쇼핑업,관광기념품
65e912c3bb908e26c803dff1,2021,경남,115386165.3,쇼핑업,레저용품쇼핑
65e912c3bb908e26c803dff2,2021,경남,240039901.383,쇼핑업,대형쇼핑몰
65e912c3bb908e26c803dff3,2021,경남,5821.81,쇼핑업,면세점
65e912c3bb908e26c803dff4,2021,경남,37972865.063,숙박업,기타숙박
65e912c3bb908e26c803dff5,2021,경남,5631682.499,숙박업,호텔
65e912c3bb908e26c803dff6,2021,경남,11193129.44,숙박업,콘도
65e912c3bb908e26c803dff7,2021,경남,1077277.761,숙박업,캠핑장/펜션
65e912c3bb908e26c803dff8,2021,경남,711916555.022,식음료업,식음료
65e912c3bb908e26c803dff9,2021,경남,3089658.881,여가서비스업,관광유원시설
65e912c3bb908e26c803dffa,2021,경남,165959344.336,여가서비스업,골프장
65e912c3bb908e26c803dffb,2021,경남,11300139.178,여가서비스업,기타레저
65e912c3bb908e26c803dffc,2021,경남,7515098.352,여가서비스업,문화서비스
65e912c3bb908e26c803dffd,2021,경남,281068.859,여행업,여행업
65e912c3bb908e26c803dffe,2021,경남,67207.365,운송업,육상운송
65e912c3bb908e26c803dfff,2021,경남,559620.283,운송업,렌터카
